"Month","x"
"04/1984",1
"04/2007",6
"04/2009",2
"04/2010",1
"04/2011",33
"04/2012",1
"04/2014",187
"05/1977",1
"05/1989",1
"05/1990",10
"05/1992",1
"05/1994",3
"05/1998",4
"05/1999",2
"05/2000",1
"05/2001",3
"05/2002",2
"05/2003",8
"05/2004",5
"05/2005",12
"05/2006",1
"05/2007",6
"05/2008",12
"05/2009",191
"05/2010",27
"05/2011",48
"05/2012",172
"05/2013",6
"05/2014",191
"06/1984",6
"06/1995",1
"06/1998",3
"06/1999",1
"06/2002",1
"06/2003",1
"06/2004",5
"06/2005",1
"06/2007",1
"06/2008",1
"06/2009",6
"06/2010",6
"06/2012",3
"06/2013",82
"06/2014",1
"07/1982",10
"07/1984",2
"07/1985",1
"07/1988",1
"07/1990",4
"07/1992",2
"07/1995",1
"07/1999",3
"07/2001",6
"07/2002",2
"07/2003",7
"07/2004",4
"07/2005",6
"07/2006",1
"07/2008",29
"07/2009",56
"07/2010",22
"07/2011",40
"07/2012",87
"07/2013",6
"07/2014",215
"08/1977",2
"08/1980",2
"08/1981",3
"08/1982",1
"08/1983",1
"08/1984",5
"08/1985",9
"08/1988",1
"08/1989",1
"08/1990",1
"08/1991",1
"08/1993",1
"08/1996",5
"08/1997",3
"08/1999",11
"08/2000",3
"08/2001",2
"08/2002",10
"08/2003",20
"08/2004",27
"08/2005",24
"08/2007",3
"08/2008",16
"08/2009",80
"08/2010",45
"08/2011",45
"08/2012",555
"08/2013",347
"08/2014",142
"09/1992",1
"09/1997",6
"09/1998",6
"09/1999",2
"09/2000",3
"09/2001",1
"09/2003",6
"09/2004",14
"09/2006",1
"09/2007",1
"09/2008",17
"09/2009",77
"09/2010",4
"09/2011",22
"09/2012",28
"09/2013",8
"09/2014",249
"10/1982",1
"10/2003",1
"10/2004",1
"10/2008",12
"10/2009",15
"10/2010",6
"10/2011",8
"10/2012",28
"10/2013",2
"10/2014",54
"12/1974",1
