"Month","x"
"04/2009",3
"04/2011",55
"04/2014",250
"05/1982",2
"05/1985",1
"05/1989",5
"05/1990",1
"05/1996",2
"05/1997",1
"05/1998",4
"05/1999",370
"05/2000",225
"05/2001",129
"05/2002",78
"05/2003",176
"05/2004",16
"05/2005",4
"05/2006",34
"05/2007",29
"05/2008",48
"05/2009",420
"05/2010",373
"05/2011",494
"05/2012",452
"05/2013",331
"05/2014",2873
"06/1986",1
"06/1993",1
"06/1997",4
"06/2001",4
"06/2002",2
"06/2004",1
"06/2005",1
"06/2006",8
"06/2007",1
"06/2008",5
"06/2009",27
"06/2010",220
"06/2011",6
"06/2012",22
"06/2013",1436
"06/2014",22
"07/1986",1
"07/1988",1
"07/2010",2
"07/2014",8
"08/2007",1
