"Month","x"
"01/2000",1
"01/2012",3
"01/2015",2
"02/2010",1
"02/2014",2
"02/2015",3
"03/1997",1
"03/2002",1
"03/2003",7
"03/2005",1
"03/2007",9
"03/2008",4
"03/2009",2
"03/2010",1
"03/2011",24
"03/2012",68
"03/2013",2
"03/2014",478
"04/1981",2
"04/1990",3
"04/1991",32
"04/1992",7
"04/1993",6
"04/1994",9
"04/1995",31
"04/1996",14
"04/1997",20
"04/1999",18
"04/2000",90
"04/2001",7
"04/2002",39
"04/2003",28
"04/2004",20
"04/2005",165
"04/2006",36
"04/2007",401
"04/2008",320
"04/2009",2770
"04/2010",2170
"04/2011",3418
"04/2012",831
"04/2013",570
"04/2014",7270
"05/1977",2
"05/1984",1
"05/1985",1
"05/1987",2
"05/1990",1
"05/1991",1
"05/1992",5
"05/1993",4
"05/1994",40
"05/1995",27
"05/1996",6
"05/1997",12
"05/1998",26
"05/1999",41
"05/2000",83
"05/2001",155
"05/2002",35
"05/2003",24
"05/2004",67
"05/2005",99
"05/2006",414
"05/2007",132
"05/2008",711
"05/2009",2122
"05/2010",1612
"05/2011",1491
"05/2012",2236
"05/2013",4313
"05/2014",2705
"06/1986",1
"06/1990",1
"06/1991",1
"06/1992",7
"06/1993",2
"06/1995",4
"06/1996",22
"06/1997",5
"06/1998",26
"06/1999",5
"06/2000",12
"06/2001",5
"06/2002",42
"06/2003",28
"06/2004",27
"06/2005",40
"06/2006",93
"06/2007",57
"06/2008",226
"06/2009",471
"06/2010",801
"06/2011",517
"06/2012",899
"06/2013",971
"06/2014",1680
"07/1983",1
"07/1984",1
"07/1987",11
"07/1989",1
"07/1990",4
"07/1991",17
"07/1992",11
"07/1993",34
"07/1994",6
"07/1995",26
"07/1996",149
"07/1997",17
"07/1998",77
"07/1999",154
"07/2000",10
"07/2001",48
"07/2002",118
"07/2003",94
"07/2004",35
"07/2005",111
"07/2006",199
"07/2007",240
"07/2008",966
"07/2009",3369
"07/2010",1576
"07/2011",2609
"07/2012",2131
"07/2013",3558
"07/2014",4514
"08/1984",4
"08/1987",23
"08/1990",3
"08/1991",40
"08/1993",13
"08/1994",7
"08/1995",5
"08/1996",522
"08/1997",24
"08/1998",14
"08/1999",69
"08/2000",104
"08/2001",23
"08/2002",51
"08/2003",39
"08/2004",77
"08/2005",121
"08/2006",71
"08/2007",97
"08/2008",2059
"08/2009",2111
"08/2010",1504
"08/2011",1125
"08/2012",4946
"08/2013",4466
"08/2014",2765
"09/1991",11
"09/1992",4
"09/1993",7
"09/1994",16
"09/1995",11
"09/1996",5
"09/1997",10
"09/1998",9
"09/1999",71
"09/2000",19
"09/2001",10
"09/2002",16
"09/2003",70
"09/2004",37
"09/2005",146
"09/2006",228
"09/2007",134
"09/2008",1483
"09/2009",3347
"09/2010",974
"09/2011",3292
"09/2012",1305
"09/2013",2899
"09/2014",6190
"10/1980",3
"10/1991",15
"10/1992",2
"10/1995",2
"10/1996",2
"10/1997",1
"10/2001",6
"10/2002",2
"10/2003",11
"10/2004",13
"10/2005",11
"10/2006",26
"10/2007",13
"10/2008",366
"10/2009",459
"10/2010",418
"10/2011",525
"10/2012",1069
"10/2013",1235
"10/2014",1199
"11/2005",1
"11/2007",2
"11/2008",3
"11/2009",8
"11/2010",6
"11/2011",19
"11/2012",7
"11/2013",1
"11/2014",37
"12/1974",1
"12/2011",1
