"Month","x"
"02/2014",1
"02/2015",1
"03/1997",1
"03/2002",1
"03/2003",5
"03/2007",6
"03/2009",5
"03/2010",9
"03/2011",97
"03/2012",263
"03/2013",1
"03/2014",749
"04/1981",1
"04/1984",1
"04/1988",1
"04/1990",2
"04/1993",1
"04/1994",2
"04/1996",17
"04/1997",1
"04/1999",4
"04/2000",8
"04/2002",4
"04/2003",12
"04/2004",6
"04/2005",23
"04/2006",30
"04/2007",105
"04/2008",59
"04/2009",675
"04/2010",1283
"04/2011",1317
"04/2012",173
"04/2013",621
"04/2014",1884
"05/1989",1
"05/1990",4
"05/1991",2
"05/1992",3
"05/1993",1
"05/1994",3
"05/1995",6
"05/1996",4
"05/1997",1
"05/1999",7
"05/2000",11
"05/2001",5
"05/2002",8
"05/2003",8
"05/2004",13
"05/2005",16
"05/2006",65
"05/2007",13
"05/2008",116
"05/2009",282
"05/2010",473
"05/2011",227
"05/2012",179
"05/2013",871
"05/2014",234
"06/1987",1
"06/1992",1
"06/1996",4
"06/1997",1
"06/1998",1
"06/1999",1
"06/2001",1
"06/2003",11
"06/2004",3
"06/2005",9
"06/2006",11
"06/2007",96
"06/2008",82
"06/2009",164
"06/2010",133
"06/2011",940
"06/2012",29
"06/2013",171
"06/2014",478
"07/1986",1
"07/1987",2
"07/1988",4
"07/1990",1
"07/1992",8
"07/1993",3
"07/1994",1
"07/1995",8
"07/1996",12
"07/1998",7
"07/1999",28
"07/2000",4
"07/2001",5
"07/2002",30
"07/2003",40
"07/2004",10
"07/2005",51
"07/2006",59
"07/2007",103
"07/2008",686
"07/2009",1374
"07/2010",1631
"07/2011",1605
"07/2012",483
"07/2013",1548
"07/2014",1396
"08/1983",1
"08/1987",1
"08/1991",1
"08/1993",3
"08/1994",2
"08/1995",2
"08/1996",24
"08/1998",3
"08/1999",17
"08/2000",2
"08/2001",3
"08/2002",12
"08/2003",10
"08/2004",22
"08/2005",11
"08/2006",15
"08/2007",43
"08/2008",157
"08/2009",503
"08/2010",1147
"08/2011",599
"08/2012",407
"08/2013",2128
"08/2014",412
"09/1995",6
"09/2001",1
"09/2004",2
"09/2005",3
"09/2006",5
"09/2007",8
"09/2008",30
"09/2009",90
"09/2010",144
"09/2011",43
"09/2012",33
"09/2013",110
"09/2014",133
"10/1996",1
"10/2007",2
"10/2008",6
"10/2009",5
"10/2010",13
"10/2011",10
"10/2012",5
"10/2013",6
"10/2014",15
"12/1974",1
