"Month","x"
"04/2007",13
"04/2009",87
"04/2010",3
"04/2011",43
"04/2012",25
"04/2014",509
"05/2005",5
"05/2007",1
"05/2008",29
"05/2009",480
"05/2010",116
"05/2011",50
"05/2012",38
"05/2013",145
"05/2014",274
"06/2007",2
"06/2009",4
"06/2010",43
"06/2011",8
"06/2012",1
"06/2013",11
"06/2014",70
"07/2001",1
"07/2003",1
"07/2005",2
"07/2008",52
"07/2009",77
"07/2010",28
"07/2011",10
"07/2012",38
"07/2013",160
"07/2014",285
"08/2004",1
"08/2005",2
"08/2006",1
"08/2007",2
"08/2008",2
"08/2009",19
"08/2010",12
"08/2011",7
"08/2012",8
"08/2013",164
"08/2014",63
"09/2014",89
"12/1974",1
