"Month","x"
"04/2007",8
"04/2009",2
"04/2011",52
"04/2013",2
"04/2014",40
"05/1993",6
"05/1994",1
"05/1995",13
"05/1999",2
"05/2002",1
"05/2003",6
"05/2004",207
"05/2005",13
"05/2006",1
"05/2007",14
"05/2008",19
"05/2009",111
"05/2010",155
"05/2011",272
"05/2012",97
"05/2013",39
"05/2014",301
"06/2000",1
"06/2003",1
"06/2005",4
"06/2006",6
"06/2007",4
"06/2008",7
"06/2009",70
"06/2010",135
"06/2011",63
"06/2012",29
"06/2013",197
"06/2014",79
"07/1995",4
"07/1996",2
"07/1999",5
"07/2000",1
"07/2001",2
"07/2003",2
"07/2004",3
"07/2005",17
"07/2006",125
"07/2007",20
"07/2008",117
"07/2009",335
"07/2010",684
"07/2011",339
"07/2012",111
"07/2013",177
"07/2014",358
"08/1984",1
"08/1991",2
"08/1993",2
"08/1994",16
"08/1996",1
"08/2000",1
"08/2001",1
"08/2002",25
"08/2003",7
"08/2004",5
"08/2005",20
"08/2006",7
"08/2007",6
"08/2008",162
"08/2009",545
"08/2010",485
"08/2011",103
"08/2012",472
"08/2013",1178
"08/2014",161
"09/1998",1
"09/2002",1
"09/2003",26
"09/2004",6
"09/2005",11
"09/2006",23
"09/2007",25
"09/2008",61
"09/2009",469
"09/2010",172
"09/2011",151
"09/2012",354
"09/2013",219
"09/2014",282
"10/2005",1
"10/2008",9
"10/2009",27
"10/2010",31
"10/2011",17
"10/2012",53
"10/2013",29
"10/2014",28
