"Month","x"
"03/2012",2
"05/1992",2
"05/1999",14
"05/2006",1
"05/2007",3
"05/2008",6
"05/2009",12
"05/2010",17
"05/2011",276
"05/2012",29
"05/2013",7
"05/2014",85
"06/1991",1
"06/1993",1
"06/1995",2
"06/1996",23
"06/1997",1
"06/1998",10
"06/1999",22
"06/2000",210
"06/2001",18
"06/2002",362
"06/2003",566
"06/2004",18
"06/2005",207
"06/2006",254
"06/2007",1041
"06/2008",5863
"06/2009",14316
"06/2010",7798
"06/2011",12793
"06/2012",4860
"06/2013",2126
"06/2014",33128
"07/1982",1
"07/1983",2
"07/1984",1
"07/1986",1
"07/1987",4
"07/1988",2
"07/1990",2
"07/1993",33
"07/1994",40
"07/1995",156
"07/1996",123
"07/1997",24
"07/1998",48
"07/1999",229
"07/2000",15
"07/2001",119
"07/2002",272
"07/2003",545
"07/2004",192
"07/2005",448
"07/2006",1264
"07/2007",683
"07/2008",10228
"07/2009",15689
"07/2010",19834
"07/2011",11957
"07/2012",13555
"07/2013",37373
"07/2014",20928
"08/1984",3
"08/1990",10
"08/1991",31
"08/1992",1
"08/1993",39
"08/1994",10
"08/1995",2
"08/1996",30
"08/1997",80
"08/1998",37
"08/1999",22
"08/2000",29
"08/2001",61
"08/2002",66
"08/2003",139
"08/2004",422
"08/2005",122
"08/2006",146
"08/2007",126
"08/2008",3021
"08/2009",3570
"08/2010",3065
"08/2011",2039
"08/2012",4013
"08/2013",12126
"08/2014",2215
"09/1996",1
"09/2000",5
"09/2001",8
"09/2002",6
"09/2003",1
"09/2004",4
"09/2005",18
"09/2006",2
"09/2007",1
"09/2008",119
"09/2009",110
"09/2010",196
"09/2011",115
"09/2012",135
"09/2013",262
"09/2014",149
"10/2008",10
"10/2010",7
"10/2011",8
"10/2012",3
"10/2013",18
"10/2014",9
"12/1974",1
