"Month","x"
"01/2013",17
"02/2014",2
"02/2015",30
"03/2011",5
"03/2012",3
"03/2013",2
"04/2012",2
"05/2013",2
"06/1991",1
"06/1999",1
"06/2000",4
"06/2008",19
"06/2009",60
"06/2010",6
"06/2011",217
"06/2012",56
"06/2013",1
"06/2014",37
"07/1994",3
"07/1995",5
"07/1996",1
"07/1997",1
"07/1998",1
"07/2003",1
"07/2006",1
"07/2008",10
"07/2009",6
"07/2010",38
"07/2011",24
"07/2012",96
"07/2013",25
"07/2014",3
"08/2010",1
"08/2013",16
"09/2012",3
"10/2011",52
"10/2012",385
"10/2013",1
"11/2012",111
"12/2012",5
