"Month","x"
"01/2011",3
"01/2012",1
"01/2013",4
"01/2014",9
"01/2015",1
"01/2046",1
"02/1976",1
"02/1990",1
"02/1998",3
"02/2000",1
"02/2002",1
"02/2003",2
"02/2005",1
"02/2007",4
"02/2008",1
"02/2010",1
"02/2011",6
"02/2012",2
"02/2014",87
"02/2015",21
"03/1977",4
"03/1978",1
"03/1979",1
"03/1981",12
"03/1984",1
"03/1986",4
"03/1989",3
"03/1991",3
"03/1992",1
"03/1993",2
"03/1994",2
"03/1996",6
"03/1997",5
"03/1998",1
"03/1999",4
"03/2000",7
"03/2002",6
"03/2003",27
"03/2004",48
"03/2005",19
"03/2006",5
"03/2007",19
"03/2008",3
"03/2009",181
"03/2010",298
"03/2011",736
"03/2012",823
"03/2013",292
"03/2014",4194
"04/1974",1
"04/1976",1
"04/1981",1
"04/1984",4
"04/1985",1
"04/1987",2
"04/1990",2
"04/1991",1
"04/1992",6
"04/1993",28
"04/1994",1
"04/1995",9
"04/1996",14
"04/1998",7
"04/1999",7
"04/2000",4
"04/2001",9
"04/2002",45
"04/2003",16
"04/2004",36
"04/2005",33
"04/2006",50
"04/2007",48
"04/2008",31
"04/2009",708
"04/2010",881
"04/2011",1561
"04/2012",337
"04/2013",1975
"04/2014",3259
"05/1977",1
"05/1988",1
"05/1989",1
"05/1990",2
"05/1991",1
"05/1992",9
"05/1993",1
"05/1994",1
"05/1995",27
"05/1997",1
"05/1998",1
"05/1999",9
"05/2000",16
"05/2001",15
"05/2002",56
"05/2003",37
"05/2004",14
"05/2005",23
"05/2006",88
"05/2007",28
"05/2008",49
"05/2009",362
"05/2010",391
"05/2011",592
"05/2012",661
"05/2013",1674
"05/2014",2234
"06/1992",2
"06/1995",1
"06/1996",3
"06/1997",1
"06/1999",1
"06/2000",2
"06/2002",4
"06/2003",1
"06/2005",7
"06/2006",8
"06/2007",3
"06/2008",2
"06/2009",42
"06/2010",197
"06/2011",107
"06/2012",85
"06/2013",658
"06/2014",610
"07/1983",1
"07/1984",1
"07/1992",1
"07/1994",1
"07/1995",5
"07/1996",1
"07/1998",2
"07/1999",1
"07/2000",10
"07/2001",1
"07/2002",19
"07/2003",15
"07/2004",2
"07/2005",4
"07/2006",6
"07/2007",2
"07/2008",86
"07/2009",198
"07/2010",340
"07/2011",250
"07/2012",799
"07/2013",1250
"07/2014",2304
"08/1981",1
"08/1983",1
"08/1984",3
"08/1986",2
"08/1987",2
"08/1988",1
"08/1990",1
"08/1991",10
"08/1995",50
"08/1996",7
"08/1997",1
"08/2000",2
"08/2001",1
"08/2002",24
"08/2003",4
"08/2004",4
"08/2005",11
"08/2006",11
"08/2007",2
"08/2008",48
"08/2009",232
"08/2010",303
"08/2011",360
"08/2012",927
"08/2013",4320
"08/2014",706
"09/1977",1
"09/1988",1
"09/1992",1
"09/1995",2
"09/2001",3
"09/2002",2
"09/2004",4
"09/2005",1
"09/2006",4
"09/2008",9
"09/2009",10
"09/2010",73
"09/2011",80
"09/2012",51
"09/2013",321
"09/2014",553
"10/1995",1
"10/2002",1
"10/2004",1
"10/2008",6
"10/2009",6
"10/2010",24
"10/2011",14
"10/2012",33
"10/2013",89
"10/2014",92
"11/2009",2
"11/2011",2
"11/2012",4
"11/2013",4
"11/2014",25
"12/1974",1
"12/2000",1
"12/2010",1
"12/2013",7
