"Month","x"
"01/1986",1
"01/1994",1
"01/2002",1
"01/2004",1
"01/2005",1
"01/2007",3
"01/2009",8
"01/2010",27
"01/2011",61
"01/2012",29
"01/2013",44
"01/2014",129
"01/2015",67
"01/2041",1
"01/2046",1
"02/2001",1
"02/2003",1
"02/2004",1
"02/2005",1
"02/2006",4
"02/2007",85
"02/2008",6
"02/2009",20
"02/2010",38
"02/2011",112
"02/2012",29
"02/2013",99
"02/2014",209
"02/2015",231
"03/1977",1
"03/1981",2
"03/1982",1
"03/1991",3
"03/1993",7
"03/1994",1
"03/1995",1
"03/1996",6
"03/1997",15
"03/1998",7
"03/1999",21
"03/2000",2
"03/2001",2
"03/2002",5
"03/2003",41
"03/2004",47
"03/2005",21
"03/2006",9
"03/2007",165
"03/2008",30
"03/2009",184
"03/2010",309
"03/2011",1876
"03/2012",1529
"03/2013",69
"03/2014",4470
"04/1978",1
"04/1981",4
"04/1984",2
"04/1986",1
"04/1987",11
"04/1988",1
"04/1990",2
"04/1991",31
"04/1992",14
"04/1993",22
"04/1994",4
"04/1995",14
"04/1996",34
"04/1997",24
"04/1998",4
"04/1999",21
"04/2000",67
"04/2001",6
"04/2002",23
"04/2003",45
"04/2004",64
"04/2005",49
"04/2006",131
"04/2007",458
"04/2008",270
"04/2009",1154
"04/2010",3818
"04/2011",3394
"04/2012",781
"04/2013",3974
"04/2014",4017
"05/1976",1
"05/1977",4
"05/1981",1
"05/1985",10
"05/1986",1
"05/1987",1
"05/1989",1
"05/1990",2
"05/1991",3
"05/1992",23
"05/1993",1
"05/1994",4
"05/1995",5
"05/1997",17
"05/1998",12
"05/1999",7
"05/2000",21
"05/2001",10
"05/2002",14
"05/2003",31
"05/2004",36
"05/2005",28
"05/2006",130
"05/2007",40
"05/2008",135
"05/2009",631
"05/2010",847
"05/2011",2060
"05/2012",801
"05/2013",2157
"05/2014",3718
"06/1992",2
"06/1995",101
"06/1996",4
"06/1997",4
"06/1999",2
"06/2000",1
"06/2001",1
"06/2002",153
"06/2003",508
"06/2004",1
"06/2005",1
"06/2006",89
"06/2007",176
"06/2008",552
"06/2009",1262
"06/2010",2489
"06/2011",1234
"06/2012",2533
"06/2013",3494
"06/2014",3808
"07/1981",5
"07/1983",1
"07/1984",1
"07/1986",1
"07/1987",2
"07/1988",1
"07/1990",104
"07/1991",64
"07/1992",448
"07/1993",6
"07/1994",65
"07/1995",316
"07/1996",9
"07/1997",22
"07/1998",93
"07/1999",146
"07/2000",10
"07/2001",13
"07/2002",184
"07/2003",526
"07/2004",16
"07/2005",56
"07/2006",370
"07/2007",205
"07/2008",380
"07/2009",2788
"07/2010",6093
"07/2011",1417
"07/2012",3484
"07/2013",7761
"07/2014",3104
"08/1977",12
"08/1979",1
"08/1981",7
"08/1984",1
"08/1985",71
"08/1986",2
"08/1987",173
"08/1988",1
"08/1990",2
"08/1991",414
"08/1992",25
"08/1993",11
"08/1994",7
"08/1995",97
"08/1996",353
"08/1997",175
"08/1998",24
"08/1999",3
"08/2000",12
"08/2001",2
"08/2002",49
"08/2003",28
"08/2004",22
"08/2005",32
"08/2006",64
"08/2007",19
"08/2008",531
"08/2009",1156
"08/2010",6407
"08/2011",552
"08/2012",7272
"08/2013",16201
"08/2014",1972
"09/1984",1
"09/1987",5
"09/1989",2
"09/1990",21
"09/1991",6
"09/1992",30
"09/1993",1
"09/1994",2
"09/1995",21
"09/1997",5
"09/1998",2
"09/1999",31
"09/2000",2
"09/2001",1
"09/2002",23
"09/2003",87
"09/2004",4
"09/2005",60
"09/2006",318
"09/2007",32
"09/2008",247
"09/2009",5989
"09/2010",5024
"09/2011",2871
"09/2012",2753
"09/2013",10032
"09/2014",3029
"10/1981",1
"10/1989",1
"10/1991",100
"10/1992",5
"10/1994",4
"10/1995",9
"10/1997",3
"10/1999",4
"10/2001",3
"10/2002",9
"10/2004",4
"10/2005",77
"10/2006",212
"10/2007",68
"10/2008",574
"10/2009",736
"10/2010",5940
"10/2011",1088
"10/2012",1931
"10/2013",3577
"10/2014",1032
"11/1995",1
"11/2001",1
"11/2002",2
"11/2005",11
"11/2006",40
"11/2007",2
"11/2008",12
"11/2009",53
"11/2010",77
"11/2011",81
"11/2012",96
"11/2013",136
"11/2014",91
"12/1974",1
"12/1986",1
"12/2006",192
"12/2008",24
"12/2009",83
"12/2010",23
"12/2011",10
"12/2012",26
"12/2013",70
"12/2014",37
