"Month","x"
"02/2004",1
"03/1988",3
"03/2010",1
"03/2014",1
"04/1994",1
"04/1996",1
"04/2009",39
"04/2010",8
"04/2011",259
"04/2012",6
"04/2013",2
"04/2014",8
"05/1985",1
"05/1988",3
"05/1992",1
"05/1995",2
"05/1996",7
"05/1998",1
"05/1999",1
"05/2000",6
"05/2001",2
"05/2002",4
"05/2003",35
"05/2004",14
"05/2005",2
"05/2006",12
"05/2007",4
"05/2008",22
"05/2009",73659
"05/2010",16
"05/2011",64
"05/2012",84
"05/2013",5
"05/2014",112
"06/1988",1
"06/1990",1
"06/1992",3
"06/1994",2
"06/1995",4
"06/1996",1002
"06/1997",2
"06/1998",3
"06/1999",3
"06/2000",30
"06/2001",4
"06/2002",49
"06/2003",247
"06/2004",25
"06/2005",4
"06/2006",149
"06/2007",78
"06/2008",27
"06/2009",5281
"06/2010",168
"06/2011",181
"06/2012",75
"06/2013",563
"06/2014",172
"07/1977",1
"07/1983",1
"07/1984",1
"07/1985",2
"07/1986",2
"07/1988",1
"07/1990",2
"07/1992",15
"07/1994",13
"07/1995",20
"07/1996",59
"07/1997",1
"07/1998",1
"07/1999",18
"07/2000",7
"07/2001",22
"07/2002",47
"07/2003",483
"07/2004",6
"07/2005",14
"07/2006",267
"07/2007",22
"07/2008",145
"07/2009",41021
"07/2010",329
"07/2011",105
"07/2012",275
"07/2013",794
"07/2014",977
"08/1977",2
"08/1984",2
"08/1986",1
"08/1988",1
"08/1990",29
"08/1991",25
"08/1992",44
"08/1993",1
"08/1994",38
"08/1995",38
"08/1996",679
"08/1997",1
"08/1998",5
"08/1999",5
"08/2000",70
"08/2001",10
"08/2002",175
"08/2003",156
"08/2004",58
"08/2005",18
"08/2006",170
"08/2007",56
"08/2008",260
"08/2009",10471
"08/2010",602
"08/2011",246
"08/2012",428
"08/2013",5603
"08/2014",391
"09/1987",2
"09/1988",4
"09/1991",5
"09/1992",1
"09/1994",3
"09/1995",6
"09/1996",13
"09/1998",1
"09/1999",7
"09/2000",10
"09/2001",5
"09/2002",30
"09/2003",16
"09/2004",10
"09/2005",1
"09/2006",52
"09/2007",3
"09/2008",83
"09/2009",2820
"09/2010",93
"09/2011",114
"09/2012",460
"09/2013",179
"09/2014",416
"10/1982",1
"10/1996",1
"10/2000",3
"10/2001",1
"10/2004",4
"10/2005",5
"10/2006",34
"10/2007",7
"10/2008",56
"10/2009",509
"10/2010",13
"10/2011",61
"10/2012",44
"10/2013",69
"10/2014",103
"11/2002",1
"11/2006",6
"11/2008",2
"11/2009",29
"11/2011",21
"11/2014",11
"12/1974",1
