"Month","x"
"05/2008",1
"05/2011",12
"06/2003",1
"06/2004",1
"06/2005",2
"06/2007",1
"06/2008",5
"06/2009",25
"06/2010",48
"06/2011",161
"06/2012",39
"06/2013",11
"06/2014",382
"07/1992",2
"07/1995",4
"07/1997",5
"07/1999",12
"07/2001",1
"07/2003",3
"07/2004",5
"07/2005",3
"07/2006",12
"07/2008",7
"07/2009",57
"07/2010",45
"07/2011",44
"07/2012",100
"07/2013",285
"07/2014",73
"08/1990",1
"08/1993",2
"08/1996",3
"08/1997",19
"08/2002",5
"08/2003",2
"08/2004",2
"08/2005",1
"08/2006",2
"08/2008",4
"08/2009",9
"08/2010",9
"08/2011",4
"08/2012",7
"08/2013",49
