"Month","x"
"01/1987",1
"01/2002",1
"01/2007",1
"01/2010",2
"01/2011",2
"01/2012",1
"01/2013",3
"01/2015",1
"01/2046",1
"02/1987",1
"02/1990",1
"02/2005",1
"02/2008",3
"02/2010",4
"02/2011",5
"02/2012",2
"02/2013",1
"02/2014",16
"02/2015",5
"03/1982",2
"03/1988",1
"03/1989",1
"03/1993",12
"03/1994",2
"03/1996",5
"03/1997",5
"03/1998",1
"03/1999",5
"03/2000",8
"03/2001",1
"03/2002",5
"03/2003",20
"03/2004",16
"03/2005",19
"03/2006",4
"03/2007",74
"03/2008",5
"03/2009",344
"03/2010",401
"03/2011",1003
"03/2012",1359
"03/2013",84
"03/2014",2423
"04/1979",1
"04/1981",1
"04/1984",1
"04/1986",1
"04/1988",5
"04/1992",8
"04/1993",6
"04/1994",9
"04/1995",1
"04/1996",12
"04/1997",3
"04/1998",1
"04/1999",2
"04/2000",21
"04/2001",7
"04/2002",8
"04/2003",5
"04/2004",10
"04/2005",26
"04/2006",62
"04/2007",72
"04/2008",24
"04/2009",955
"04/2010",1849
"04/2011",874
"04/2012",309
"04/2013",1380
"04/2014",1020
"05/1986",1
"05/1992",3
"05/1994",12
"05/1995",1
"05/1996",1
"05/1997",1
"05/1998",1
"05/1999",1
"05/2000",7
"05/2001",4
"05/2003",2
"05/2004",5
"05/2005",3
"05/2006",40
"05/2007",15
"05/2008",16
"05/2009",168
"05/2010",285
"05/2011",208
"05/2012",219
"05/2013",482
"05/2014",160
"06/1988",2
"06/1992",6
"06/1993",7
"06/1994",1
"06/1995",1
"06/1996",3
"06/1997",1
"06/1998",2
"06/1999",2
"06/2000",5
"06/2001",4
"06/2002",10
"06/2003",18
"06/2004",1
"06/2005",16
"06/2006",13
"06/2007",80
"06/2008",85
"06/2009",625
"06/2010",391
"06/2011",1145
"06/2012",445
"06/2013",143
"06/2014",1776
"07/1971",2
"07/1981",1
"07/1982",1
"07/1983",3
"07/1984",2
"07/1986",2
"07/1987",6
"07/1988",4
"07/1990",7
"07/1991",9
"07/1992",19
"07/1993",25
"07/1994",1
"07/1995",23
"07/1996",24
"07/1997",7
"07/1998",13
"07/1999",33
"07/2000",12
"07/2001",23
"07/2002",16
"07/2003",82
"07/2004",33
"07/2005",55
"07/2006",139
"07/2007",54
"07/2008",392
"07/2009",2023
"07/2010",3468
"07/2011",1196
"07/2012",2159
"07/2013",3532
"07/2014",2084
"08/1983",1
"08/1984",2
"08/1985",1
"08/1986",1
"08/1987",9
"08/1990",1
"08/1991",17
"08/1992",2
"08/1993",1
"08/1994",36
"08/1995",10
"08/1996",7
"08/1997",2
"08/1999",10
"08/2000",2
"08/2001",10
"08/2002",6
"08/2003",42
"08/2004",12
"08/2005",46
"08/2006",43
"08/2007",27
"08/2008",312
"08/2009",897
"08/2010",1052
"08/2011",430
"08/2012",1152
"08/2013",2207
"08/2014",889
"09/1984",1
"09/1986",2
"09/1987",5
"09/1990",1
"09/1991",7
"09/1992",10
"09/1994",7
"09/1995",5
"09/1997",3
"09/1998",2
"09/1999",8
"09/2000",1
"09/2001",18
"09/2002",8
"09/2003",15
"09/2004",18
"09/2005",37
"09/2006",84
"09/2007",24
"09/2008",530
"09/2009",873
"09/2010",1198
"09/2011",524
"09/2012",1594
"09/2013",1403
"09/2014",1007
"10/1986",1
"10/1988",1
"10/1991",5
"10/1999",2
"10/2002",1
"10/2005",12
"10/2006",59
"10/2007",4
"10/2008",122
"10/2009",144
"10/2010",464
"10/2011",137
"10/2012",399
"10/2013",414
"10/2014",366
"11/1986",1
"11/1991",1
"11/2005",1
"11/2006",13
"11/2008",4
"11/2009",18
"11/2010",4
"11/2011",17
"11/2012",8
"11/2013",9
"11/2014",112
"12/1974",1
"12/1986",1
"12/2009",3
"12/2012",2
"12/2013",4
