"Month","x"
"04/2007",1
"05/2005",1
"05/2006",1
"05/2007",12
"05/2008",3
"05/2009",3
"05/2012",2
"05/2014",2
"06/1992",1
"06/2008",2
"06/2009",2
"06/2010",1
"06/2012",2
"06/2013",9
"06/2014",1
"07/1998",1
"07/2006",3
"07/2008",6
"07/2009",29
"07/2011",3
"07/2012",45
"07/2013",30
"07/2014",3
"08/1996",1
"08/1998",3
"08/2002",1
"08/2003",1
"08/2004",1
"08/2006",1
"08/2008",1
"08/2009",2
"08/2010",2
"08/2011",1
"08/2012",99
"08/2013",73
"08/2014",8
"09/1994",1
"09/2002",2
"09/2003",3
"09/2004",2
"09/2006",4
"09/2008",2
"09/2009",2
"09/2010",1
"09/2011",34
"09/2012",63
"09/2013",9
"09/2014",17
"10/1997",2
"10/2003",1
"10/2006",1
"10/2007",3
"10/2009",1
"10/2010",1
"10/2011",7
"10/2012",35
"10/2013",15
"10/2014",1
"11/2013",1
"12/1974",1
