"Month","x"
"03/2011",1
"03/2012",1
"04/1984",1
"04/1991",1
"04/2004",1
"04/2006",6
"04/2007",2
"04/2008",4
"04/2009",509
"04/2010",161
"04/2011",172
"04/2012",49
"04/2014",438
"05/1994",5
"05/1995",5
"05/1998",2
"05/1999",15
"05/2000",2
"05/2002",4
"05/2003",14
"05/2004",13
"05/2005",10
"05/2006",1
"05/2007",18
"05/2008",48
"05/2009",397
"05/2010",557
"05/2011",172
"05/2012",219
"05/2013",205
"05/2014",903
"06/1982",1
"06/1985",1
"06/1986",1
"06/1993",1
"06/2000",2
"06/2001",2
"06/2002",4
"06/2003",14
"06/2004",6
"06/2005",3
"06/2006",31
"06/2007",28
"06/2008",29
"06/2009",53
"06/2010",216
"06/2011",66
"06/2012",62
"06/2013",380
"06/2014",451
"07/1987",1
"07/2003",2
"07/2004",3
"07/2006",2
"07/2008",12
"07/2009",10
"07/2010",36
"07/2011",18
"07/2012",16
"07/2013",125
"07/2014",8
"08/2009",1
"08/2011",2
"08/2013",2
