"Month","x"
"04/2011",17
"04/2014",1
"05/2001",1
"05/2004",1
"05/2006",3
"05/2007",27
"05/2008",24
"05/2009",88
"05/2010",4
"05/2011",805
"05/2012",21
"05/2014",499
"06/1985",2
"06/1992",1
"06/1993",1
"06/1994",1
"06/1995",1
"06/1997",2
"06/1998",16
"06/1999",6
"06/2000",42
"06/2001",4
"06/2002",52
"06/2003",90
"06/2004",7
"06/2005",71
"06/2006",155
"06/2007",322
"06/2008",997
"06/2009",2165
"06/2010",3099
"06/2011",5195
"06/2012",1492
"06/2013",1113
"06/2014",9106
"07/1984",1
"07/1988",4
"07/1989",1
"07/1991",103
"07/1993",2
"07/1994",3
"07/1995",27
"07/1996",12
"07/1998",2
"07/1999",4
"07/2000",6
"07/2001",96
"07/2002",27
"07/2003",90
"07/2004",11
"07/2005",88
"07/2006",115
"07/2007",23
"07/2008",390
"07/2009",841
"07/2010",2962
"07/2011",1643
"07/2012",1787
"07/2013",6701
"07/2014",1957
"08/1983",1
"08/1991",6
"08/1995",1
"08/1996",4
"08/2001",1
"08/2004",16
"08/2005",2
"08/2007",3
"08/2008",6
"08/2009",67
"08/2010",49
"08/2011",34
"08/2012",165
"08/2013",259
"08/2014",24
"09/1998",11
"09/2002",1
"09/2008",2
"09/2009",9
"09/2010",4
"09/2011",1
"09/2012",1
"09/2013",1
"09/2014",11
"10/2009",1
"10/2012",1
"10/2014",1
