"Month","x"
"01/2012",4
"01/2014",1
"02/2012",2
"02/2014",1
"03/1989",1
"03/1994",1
"03/1999",1
"03/2005",1
"03/2007",1
"03/2009",7
"03/2010",2
"03/2011",14
"03/2012",57
"03/2013",1
"03/2014",159
"04/1991",7
"04/1993",1
"04/1995",3
"04/1996",2
"04/1999",3
"04/2000",12
"04/2002",2
"04/2003",8
"04/2004",4
"04/2005",125
"04/2006",16
"04/2007",118
"04/2008",25
"04/2009",591
"04/2010",399
"04/2011",593
"04/2012",160
"04/2013",93
"04/2014",1539
"05/1977",9
"05/1990",1
"05/1991",9
"05/1992",18
"05/1993",6
"05/1994",7
"05/1995",5
"05/1997",1
"05/1998",8
"05/1999",18
"05/2000",19
"05/2001",18
"05/2002",15
"05/2003",6
"05/2004",78
"05/2005",155
"05/2006",74
"05/2007",66
"05/2008",159
"05/2009",394
"05/2010",419
"05/2011",506
"05/2012",552
"05/2013",309
"05/2014",1161
"06/1986",1
"06/1987",1
"06/1988",2
"06/1991",5
"06/1992",4
"06/1993",2
"06/1995",3
"06/1996",8
"06/1998",1
"06/1999",1
"06/2000",1
"06/2001",2
"06/2002",60
"06/2003",5
"06/2004",10
"06/2005",61
"06/2006",33
"06/2007",82
"06/2008",156
"06/2009",431
"06/2010",284
"06/2011",570
"06/2012",142
"06/2013",173
"06/2014",801
"07/1984",1
"07/1985",1
"07/1986",3
"07/1988",2
"07/1990",8
"07/1991",6
"07/1992",12
"07/1994",3
"07/1995",9
"07/1996",11
"07/1997",3
"07/1998",9
"07/1999",26
"07/2000",2
"07/2001",16
"07/2002",25
"07/2003",73
"07/2004",35
"07/2005",154
"07/2006",128
"07/2007",105
"07/2008",1580
"07/2009",2041
"07/2010",1946
"07/2011",1189
"07/2012",1020
"07/2013",1318
"07/2014",1318
"08/1977",1
"08/1983",3
"08/1985",2
"08/1986",1
"08/1987",6
"08/1990",2
"08/1991",56
"08/1992",5
"08/1993",20
"08/1994",2
"08/1995",1
"08/1996",18
"08/1997",53
"08/1998",5
"08/1999",34
"08/2000",7
"08/2001",8
"08/2002",10
"08/2003",68
"08/2004",58
"08/2005",105
"08/2006",57
"08/2007",73
"08/2008",443
"08/2009",1592
"08/2010",953
"08/2011",847
"08/2012",820
"08/2013",1866
"08/2014",1433
"09/1987",2
"09/1991",41
"09/1992",4
"09/1994",6
"09/1995",3
"09/1997",26
"09/1998",2
"09/1999",41
"09/2001",4
"09/2002",2
"09/2003",55
"09/2004",47
"09/2005",59
"09/2006",106
"09/2007",59
"09/2008",908
"09/2009",1070
"09/2010",760
"09/2011",1009
"09/2012",869
"09/2013",1508
"09/2014",1122
"10/1991",10
"10/2001",1
"10/2004",4
"10/2005",10
"10/2006",11
"10/2007",11
"10/2008",163
"10/2009",188
"10/2010",125
"10/2011",285
"10/2012",170
"10/2013",327
"10/2014",337
"11/2008",30
"11/2009",174
"11/2010",97
"11/2011",65
"11/2012",11
"11/2013",54
"11/2014",16
"12/1974",1
"12/2013",1
"12/2014",20
