"Month","x"
"05/2009",2
"05/2011",2
"05/2014",1
"06/2002",30
"06/2003",12
"06/2006",16
"06/2007",78
"06/2008",186
"06/2009",439
"06/2010",596
"06/2011",951
"06/2012",250
"06/2013",308
"06/2014",1418
"07/1985",1
"07/1988",1
"07/2000",1
"07/2001",1
"07/2003",5
"07/2004",50
"07/2005",60
"07/2006",200
"07/2008",222
"07/2009",1001
"07/2010",1349
"07/2011",331
"07/2012",966
"07/2013",2108
"07/2014",702
"08/1983",1
"08/1993",8
"08/2000",2
"08/2002",3
"08/2003",3
"08/2004",40
"08/2005",1
"08/2006",5
"08/2007",1
"08/2008",9
"08/2009",81
"08/2010",121
"08/2011",42
"08/2012",71
"08/2013",212
"08/2014",34
"09/2002",3
"09/2008",1
"09/2009",2
"09/2010",2
"09/2011",1
"09/2013",13
"09/2014",2
"10/2013",1
