"Month","x"
"01/2011",1
"02/2015",1
"04/2014",2
"06/2005",3
"06/2009",1
"06/2010",3
"06/2011",13
"06/2013",2
"06/2014",75
"07/1984",1
"07/1991",1
"07/1995",1
"07/1996",1
"07/1998",1
"07/1999",2
"07/2000",1
"07/2001",4
"07/2003",1
"07/2004",10
"07/2006",18
"07/2007",2
"07/2008",38
"07/2009",309
"07/2010",367
"07/2011",238
"07/2012",864
"07/2013",489
"07/2014",1584
"08/1987",1
"08/1988",1
"08/1990",1
"08/1991",4
"08/1993",8
"08/1994",2
"08/1995",1
"08/1997",1
"08/1999",5
"08/2000",11
"08/2001",8
"08/2002",4
"08/2003",72
"08/2004",4
"08/2005",11
"08/2006",6
"08/2007",24
"08/2008",221
"08/2009",530
"08/2010",497
"08/2011",1109
"08/2012",4051
"08/2013",4833
"08/2014",1605
"09/2001",1
"09/2003",1
"09/2005",8
"09/2006",1
"09/2008",15
"09/2009",27
"09/2010",59
"09/2011",43
"09/2012",146
"09/2013",352
"09/2014",284
"10/2011",2
