"Month","x"
"04/2007",53
"04/2008",1
"04/2009",37
"04/2010",27
"04/2011",335
"04/2012",1
"04/2013",1
"04/2014",330
"05/1977",3
"05/1981",6
"05/1984",1
"05/1985",1
"05/1989",1
"05/1990",12
"05/1991",4
"05/1992",7
"05/1993",5
"05/1995",5
"05/1997",4
"05/1998",2
"05/1999",11
"05/2000",13
"05/2001",3
"05/2002",8
"05/2003",15
"05/2004",86
"05/2005",103
"05/2006",24
"05/2007",35
"05/2008",136
"05/2009",718
"05/2010",942
"05/2011",1267
"05/2012",601
"05/2013",289
"05/2014",1287
"06/1978",1
"06/1981",11
"06/1984",2
"06/1986",3
"06/1989",1
"06/1990",5
"06/1991",2
"06/1992",7
"06/1998",2
"06/2000",33
"06/2002",1
"06/2003",9
"06/2004",111
"06/2005",34
"06/2006",106
"06/2007",16
"06/2008",145
"06/2009",163
"06/2010",791
"06/2011",248
"06/2012",333
"06/2013",1281
"06/2014",1099
"07/1982",1
"07/1983",1
"07/1984",1
"07/1985",1
"07/1987",3
"07/1990",10
"07/1993",4
"07/1994",8
"07/1995",1
"07/1998",8
"07/1999",8
"07/2000",1
"07/2001",1
"07/2002",33
"07/2003",37
"07/2004",2
"07/2005",8
"07/2006",18
"07/2007",18
"07/2008",310
"07/2009",373
"07/2010",546
"07/2011",474
"07/2012",221
"07/2013",583
"07/2014",683
"08/1980",2
"08/1981",1
"08/1984",3
"08/1985",1
"08/1986",1
"08/1987",5
"08/1990",3
"08/1991",12
"08/1993",2
"08/1994",15
"08/1996",1
"08/1997",1
"08/1999",16
"08/2000",11
"08/2001",12
"08/2002",9
"08/2003",138
"08/2004",116
"08/2005",47
"08/2006",15
"08/2007",15
"08/2008",377
"08/2009",1005
"08/2010",1004
"08/2011",1003
"08/2012",1576
"08/2013",2649
"08/2014",1350
"09/1981",7
"09/1987",3
"09/1996",5
"09/2000",1
"09/2002",1
"09/2003",13
"09/2004",9
"09/2005",18
"09/2006",13
"09/2007",8
"09/2008",141
"09/2009",177
"09/2010",281
"09/2011",137
"09/2012",406
"09/2013",714
"09/2014",1513
"10/1995",1
"10/2007",1
"10/2008",3
"10/2009",5
"10/2010",2
"10/2011",1
"10/2012",11
"10/2013",2
"10/2014",8
"12/1974",1
"12/1996",3
