"Month","x"
"03/2002",1
"03/2007",1
"04/1981",1
"04/1991",1
"04/1993",1
"04/2005",1
"04/2006",1
"04/2007",36
"04/2009",11
"04/2010",6
"04/2011",114
"04/2012",1
"04/2013",3
"04/2014",59
"05/1977",1
"05/1990",4
"05/1992",5
"05/1995",1
"05/1997",1
"05/1998",17
"05/1999",36
"05/2000",1
"05/2002",3
"05/2003",11
"05/2004",132
"05/2005",81
"05/2006",13
"05/2007",133
"05/2008",255
"05/2009",3776
"05/2010",1692
"05/2011",1971
"05/2012",693
"05/2013",78
"05/2014",3159
"06/1981",4
"06/1986",2
"06/1987",1
"06/1991",3
"06/1993",3
"06/1996",31
"06/1997",7
"06/1998",3
"06/2000",63
"06/2001",3
"06/2002",12
"06/2003",8
"06/2004",61
"06/2005",88
"06/2006",171
"06/2007",22
"06/2008",197
"06/2009",1150
"06/2010",3508
"06/2011",362
"06/2012",406
"06/2013",3015
"06/2014",1079
"07/1984",6
"07/1986",1
"07/1992",63
"07/1993",24
"07/1994",6
"07/1995",6
"07/1996",1
"07/1997",2
"07/1998",3
"07/1999",58
"07/2001",4
"07/2002",43
"07/2003",95
"07/2004",12
"07/2005",61
"07/2006",725
"07/2007",46
"07/2008",1025
"07/2009",15531
"07/2010",3327
"07/2011",902
"07/2012",515
"07/2013",811
"07/2014",2495
"08/1982",3
"08/1983",1
"08/1984",3
"08/1986",4
"08/1987",27
"08/1988",1
"08/1990",2
"08/1991",2
"08/1992",1
"08/1993",22
"08/1994",81
"08/1995",2
"08/1996",68
"08/1997",105
"08/1998",9
"08/1999",53
"08/2000",41
"08/2001",100
"08/2002",62
"08/2003",492
"08/2004",233
"08/2005",85
"08/2006",540
"08/2007",47
"08/2008",2599
"08/2009",13117
"08/2010",5400
"08/2011",769
"08/2012",2947
"08/2013",14043
"08/2014",1740
"09/1987",3
"09/1994",1
"09/1995",1
"09/1997",1
"09/1999",122
"09/2000",3
"09/2001",4
"09/2002",6
"09/2003",171
"09/2004",35
"09/2005",45
"09/2006",74
"09/2007",28
"09/2008",206
"09/2009",3033
"09/2010",392
"09/2011",224
"09/2012",626
"09/2013",919
"09/2014",1693
"10/2004",1
"10/2005",1
"10/2006",5
"10/2007",6
"10/2008",29
"10/2009",311
"10/2010",65
"10/2011",21
"10/2012",109
"10/2013",97
"10/2014",259
"11/2013",1
"11/2014",10
"12/1974",1
