"Month","x"
"01/2014",1
"03/1996",1
"03/1997",1
"03/2003",2
"03/2008",1
"03/2009",7
"03/2010",2
"03/2011",42
"03/2012",42
"03/2014",178
"04/1988",1
"04/1989",1
"04/1992",2
"04/1994",20
"04/1995",3
"04/1996",12
"04/1997",3
"04/1998",1
"04/1999",5
"04/2000",5
"04/2002",30
"04/2003",36
"04/2004",29
"04/2005",64
"04/2006",42
"04/2007",480
"04/2008",73
"04/2009",1436
"04/2010",1974
"04/2011",1822
"04/2012",578
"04/2013",418
"04/2014",4398
"05/1977",5
"05/1984",1
"05/1986",1
"05/1989",1
"05/1990",1
"05/1992",18
"05/1994",8
"05/1995",23
"05/1996",4
"05/1997",9
"05/1998",8
"05/1999",5
"05/2000",27
"05/2001",39
"05/2002",81
"05/2003",61
"05/2004",55
"05/2005",63
"05/2006",181
"05/2007",101
"05/2008",466
"05/2009",1385
"05/2010",1624
"05/2011",797
"05/2012",1148
"05/2013",1982
"05/2014",1549
"06/1989",1
"06/1993",1
"06/1996",11
"06/1997",2
"06/1998",1
"06/1999",8
"06/2000",1
"06/2002",7
"06/2003",14
"06/2004",4
"06/2005",10
"06/2006",14
"06/2007",172
"06/2008",124
"06/2009",523
"06/2010",340
"06/2011",1460
"06/2012",131
"06/2013",378
"06/2014",1432
"07/1983",1
"07/1984",1
"07/1987",1
"07/1991",1
"07/1995",3
"07/1996",39
"07/1997",40
"07/1998",24
"07/1999",76
"07/2000",1
"07/2001",12
"07/2002",74
"07/2003",35
"07/2004",47
"07/2005",74
"07/2006",115
"07/2007",209
"07/2008",559
"07/2009",2416
"07/2010",1669
"07/2011",1276
"07/2012",1047
"07/2013",2100
"07/2014",2176
"08/1990",1
"08/1991",8
"08/1993",3
"08/1994",7
"08/1996",27
"08/1997",24
"08/1999",29
"08/2000",2
"08/2001",11
"08/2002",33
"08/2003",41
"08/2004",19
"08/2005",142
"08/2006",99
"08/2007",54
"08/2008",2645
"08/2009",2910
"08/2010",1532
"08/2011",1134
"08/2012",994
"08/2013",3310
"08/2014",1962
"09/1991",2
"09/1995",2
"09/1996",1
"09/1997",6
"09/1998",5
"09/1999",1
"09/2000",2
"09/2001",4
"09/2002",7
"09/2003",2
"09/2004",6
"09/2005",24
"09/2006",34
"09/2007",5
"09/2008",360
"09/2009",580
"09/2010",580
"09/2011",516
"09/2012",586
"09/2013",1316
"09/2014",1116
"10/2008",7
"10/2009",18
"10/2010",37
"10/2011",29
"10/2012",25
"10/2013",36
"10/2014",43
"11/2009",1
"11/2010",1
"11/2011",2
"11/2013",2
"11/2014",5
"12/1974",1
