"Month","x"
"01/2009",1
"01/2011",2
"01/2012",1
"01/2013",1
"01/2014",2
"02/2012",4
"02/2015",1
"03/1996",2
"03/1997",4
"03/1999",2
"03/2000",1
"03/2002",3
"03/2003",17
"03/2004",6
"03/2005",11
"03/2007",31
"03/2009",53
"03/2010",20
"03/2011",357
"03/2012",459
"03/2013",2
"03/2014",811
"04/1978",1
"04/1984",2
"04/1993",6
"04/1995",2
"04/1996",14
"04/1997",11
"04/1999",4
"04/2000",44
"04/2001",6
"04/2002",39
"04/2003",34
"04/2004",86
"04/2005",447
"04/2006",80
"04/2007",956
"04/2008",161
"04/2009",2051
"04/2010",2522
"04/2011",2689
"04/2012",733
"04/2013",575
"04/2014",3220
"05/1977",10
"05/1984",1
"05/1991",3
"05/1992",8
"05/1993",1
"05/1994",9
"05/1995",40
"05/1996",6
"05/1997",5
"05/1998",26
"05/1999",16
"05/2000",24
"05/2001",61
"05/2002",29
"05/2003",14
"05/2004",127
"05/2005",219
"05/2006",421
"05/2007",477
"05/2008",625
"05/2009",1202
"05/2010",1586
"05/2011",910
"05/2012",1434
"05/2013",1249
"05/2014",1086
"06/1986",2
"06/1995",4
"06/1996",21
"06/1997",2
"06/1998",10
"06/1999",2
"06/2001",3
"06/2002",29
"06/2003",21
"06/2004",24
"06/2005",167
"06/2006",95
"06/2007",817
"06/2008",432
"06/2009",911
"06/2010",721
"06/2011",2263
"06/2012",330
"06/2013",397
"06/2014",1521
"07/1981",1
"07/1983",1
"07/1984",1
"07/1987",2
"07/1992",22
"07/1993",20
"07/1994",1
"07/1995",50
"07/1996",39
"07/1997",28
"07/1998",47
"07/1999",26
"07/2001",43
"07/2002",71
"07/2003",146
"07/2004",90
"07/2005",725
"07/2006",1092
"07/2007",365
"07/2008",1184
"07/2009",5076
"07/2010",12250
"07/2011",2954
"07/2012",2811
"07/2013",3647
"07/2014",2844
"08/1977",1
"08/1988",1
"08/1990",2
"08/1991",63
"08/1993",4
"08/1994",32
"08/1995",33
"08/1996",63
"08/1997",71
"08/1999",3
"08/2000",3
"08/2001",42
"08/2002",31
"08/2003",304
"08/2004",114
"08/2005",1054
"08/2006",1002
"08/2007",322
"08/2008",2829
"08/2009",4809
"08/2010",6780
"08/2011",2726
"08/2012",3761
"08/2013",8428
"08/2014",2482
"09/1984",1
"09/1991",43
"09/1995",12
"09/1996",3
"09/1997",30
"09/1998",94
"09/2000",1
"09/2001",36
"09/2002",7
"09/2003",119
"09/2004",110
"09/2005",273
"09/2006",638
"09/2007",191
"09/2008",967
"09/2009",3669
"09/2010",3774
"09/2011",2613
"09/2012",3332
"09/2013",4493
"09/2014",2040
"10/1991",20
"10/2001",2
"10/2002",2
"10/2003",6
"10/2004",15
"10/2005",39
"10/2006",116
"10/2007",17
"10/2008",148
"10/2009",407
"10/2010",763
"10/2011",628
"10/2012",543
"10/2013",586
"10/2014",310
"11/2006",7
"11/2008",4
"11/2009",13
"11/2010",33
"11/2011",59
"11/2012",3
"11/2013",3
"11/2014",28
"12/1974",1
"12/2008",3
"12/2009",21
"12/2010",5
"12/2011",4
