"Month","x"
"04/2011",2
"05/2011",49
"05/2012",1
"05/2013",1
"05/2014",5
"06/1992",1
"06/1998",3
"06/2000",3
"06/2003",1
"06/2006",1
"06/2007",29
"06/2008",43
"06/2009",203
"06/2010",400
"06/2011",743
"06/2012",119
"06/2013",22
"06/2014",842
"07/1987",1
"07/1992",2
"07/1998",2
"07/1999",4
"07/2002",1
"07/2003",1
"07/2004",1
"07/2005",2
"07/2006",29
"07/2007",2
"07/2008",32
"07/2009",110
"07/2010",759
"07/2011",112
"07/2012",309
"07/2013",1062
"07/2014",171
"08/2003",1
"08/2006",20
"08/2009",6
"08/2010",12
"08/2011",4
"08/2012",24
"08/2013",104
"09/2002",1
"09/2004",1
"09/2008",8
"09/2009",11
"09/2010",5
"09/2011",2
"09/2012",1
"09/2013",41
"09/2014",62
"10/2012",1
"10/2013",7
"10/2014",14
