"Month","x"
"04/1994",1
"04/2003",1
"04/2005",2
"04/2007",9
"04/2009",6
"04/2010",44
"04/2011",78
"04/2012",49
"04/2013",29
"04/2014",59
"05/1999",1
"05/2005",10
"05/2006",5
"05/2007",3
"05/2008",1
"05/2009",18
"05/2010",8
"05/2011",185
"05/2012",26
"05/2013",25
"05/2014",30
"06/2003",2
"06/2005",10
"06/2006",1
"06/2007",5
"06/2008",2
"06/2009",32
"06/2010",47
"06/2011",323
"06/2012",64
"06/2013",33
"06/2014",120
"07/1984",1
"07/1998",1
"07/1999",3
"07/2002",10
"07/2003",1
"07/2004",3
"07/2005",3
"07/2006",31
"07/2007",2
"07/2008",8
"07/2009",89
"07/2010",192
"07/2011",318
"07/2012",139
"07/2013",130
"07/2014",266
"08/2002",18
"08/2003",26
"08/2004",34
"08/2005",9
"08/2006",13
"08/2007",3
"08/2008",24
"08/2009",179
"08/2010",154
"08/2011",349
"08/2012",520
"08/2013",535
"08/2014",172
"09/1996",1
"09/2002",1
"09/2003",2
"09/2004",34
"09/2005",38
"09/2006",11
"09/2007",11
"09/2008",13
"09/2009",128
"09/2010",84
"09/2011",137
"09/2012",470
"09/2013",126
"09/2014",212
"10/2004",4
"10/2005",1
"10/2006",7
"10/2008",3
"10/2009",13
"10/2010",110
"10/2011",72
"10/2012",47
"10/2013",46
"10/2014",50
"11/2009",1
"11/2010",1
"11/2011",17
"11/2014",8
