"Month","x"
"01/2006",2
"01/2011",2
"01/2013",3
"01/2014",21
"02/1976",3
"02/1990",1
"02/1992",3
"02/2003",2
"02/2007",2
"02/2008",1
"02/2010",1
"02/2011",3
"02/2012",3
"02/2013",7
"02/2014",169
"02/2015",29
"03/1977",3
"03/1979",1
"03/1981",2
"03/1982",1
"03/1986",2
"03/1989",1
"03/1991",3
"03/1992",3
"03/1993",12
"03/1994",1
"03/1995",1
"03/1996",4
"03/1997",6
"03/1998",2
"03/1999",4
"03/2000",2
"03/2002",1
"03/2003",13
"03/2004",43
"03/2005",8
"03/2006",4
"03/2007",16
"03/2008",2
"03/2009",23
"03/2010",62
"03/2011",253
"03/2012",399
"03/2013",326
"03/2014",4259
"04/1978",1
"04/1981",3
"04/1983",1
"04/1984",2
"04/1985",1
"04/1987",7
"04/1988",3
"04/1990",2
"04/1991",24
"04/1992",30
"04/1993",5
"04/1995",2
"04/1996",40
"04/1997",13
"04/1998",1
"04/1999",1
"04/2000",2
"04/2001",1
"04/2002",1
"04/2003",3
"04/2004",22
"04/2005",22
"04/2006",39
"04/2007",11
"04/2008",10
"04/2009",42
"04/2010",129
"04/2011",120
"04/2012",62
"04/2013",967
"04/2014",9066
"05/1977",1
"05/1985",1
"05/1986",1
"05/1987",1
"05/1991",1
"05/1992",16
"05/1993",1
"05/1994",8
"05/1995",4
"05/1996",3
"05/1997",2
"05/1998",3
"05/1999",1
"05/2000",1
"05/2001",3
"05/2003",4
"05/2004",8
"05/2005",1
"05/2006",14
"05/2007",29
"05/2008",11
"05/2009",29
"05/2010",19
"05/2011",892
"05/2012",157
"05/2013",364
"05/2014",6063
"06/1989",1
"06/1991",2
"06/1996",5
"06/1997",1
"06/1998",6
"06/2002",1
"06/2003",26
"06/2004",8
"06/2005",9
"06/2006",22
"06/2007",23
"06/2008",4
"06/2009",24
"06/2010",231
"06/2011",760
"06/2012",709
"06/2013",1816
"06/2014",5947
"07/1977",3
"07/1981",11
"07/1982",1
"07/1983",1
"07/1984",35
"07/1987",16
"07/1988",1
"07/1990",43
"07/1991",39
"07/1992",65
"07/1993",14
"07/1994",1
"07/1995",79
"07/1996",17
"07/1997",8
"07/1998",4
"07/1999",17
"07/2000",14
"07/2001",3
"07/2002",6
"07/2003",325
"07/2004",7
"07/2005",17
"07/2006",61
"07/2007",11
"07/2008",18
"07/2009",128
"07/2010",262
"07/2011",269
"07/2012",280
"07/2013",2458
"07/2014",3251
"07/2063",1
"08/1975",1
"08/1977",10
"08/1981",21
"08/1984",8
"08/1986",5
"08/1987",40
"08/1990",11
"08/1991",344
"08/1992",5025
"08/1993",3
"08/1994",209
"08/1995",273
"08/1996",176
"08/1997",25
"08/1998",2
"08/1999",14
"08/2000",1
"08/2001",2
"08/2002",63
"08/2003",116
"08/2004",73
"08/2005",48
"08/2006",61
"08/2007",11
"08/2008",9
"08/2009",339
"08/2010",499
"08/2011",355
"08/2012",3622
"08/2013",25613
"08/2014",1752
"08/2063",27
"09/1981",2
"09/1984",8
"09/1986",1
"09/1987",51
"09/1988",1
"09/1990",3
"09/1991",401
"09/1992",18
"09/1994",44
"09/1995",66
"09/1996",1
"09/1997",17
"09/1998",10
"09/1999",6
"09/2001",3
"09/2002",6
"09/2003",19
"09/2004",10
"09/2005",27
"09/2006",22
"09/2007",4
"09/2008",11
"09/2009",40
"09/2010",109
"09/2011",87
"09/2012",300
"09/2013",1320
"09/2014",716
"10/1981",1
"10/1982",1
"10/1987",1
"10/1989",1
"10/1991",78
"10/1994",2
"10/1995",1
"10/1996",6
"10/1999",1
"10/2001",1
"10/2002",2
"10/2003",1
"10/2004",2
"10/2005",13
"10/2006",1
"10/2007",1
"10/2008",3
"10/2009",10
"10/2010",21
"10/2011",56
"10/2012",172
"10/2013",128
"10/2014",121
"11/1991",1
"11/2006",1
"11/2009",2
"11/2011",7
"11/2012",8
"11/2013",23
"11/2014",10
"12/1974",1
"12/2012",4
"12/2013",15
"12/2014",5
