"Month","x"
"03/2002",2
"03/2009",3
"03/2011",3
"03/2012",10
"03/2013",5
"03/2014",4
"04/1996",3
"04/2000",1
"04/2002",1
"04/2003",5
"04/2004",7
"04/2007",65
"04/2008",7
"04/2009",137
"04/2010",140
"04/2011",178
"04/2012",63
"04/2013",5
"04/2014",445
"05/1976",2
"05/1977",2
"05/1990",3
"05/1991",8
"05/1997",1
"05/1998",2
"05/2000",5
"05/2002",1
"05/2003",6
"05/2004",63
"05/2005",42
"05/2006",33
"05/2007",27
"05/2008",57
"05/2009",569
"05/2010",793
"05/2011",255
"05/2012",464
"05/2013",171
"05/2014",451
"06/1986",2
"06/1996",1
"06/1998",1
"06/1999",1
"06/2000",2
"06/2002",2
"06/2003",9
"06/2004",6
"06/2005",3
"06/2006",11
"06/2007",34
"06/2008",33
"06/2009",71
"06/2010",129
"06/2011",196
"06/2012",39
"06/2013",177
"06/2014",95
"07/1983",1
"07/1984",1
"07/1985",1
"07/1988",1
"07/1992",2
"07/1993",1
"07/1994",1
"07/1995",11
"07/1996",1
"07/1997",1
"07/1998",6
"07/1999",15
"07/2000",2
"07/2001",2
"07/2002",27
"07/2003",18
"07/2004",46
"07/2005",25
"07/2006",69
"07/2007",32
"07/2008",186
"07/2009",650
"07/2010",1309
"07/2011",322
"07/2012",561
"07/2013",343
"07/2014",336
"08/1983",2
"08/1984",6
"08/1987",11
"08/1990",31
"08/1991",14
"08/1993",1
"08/1995",1
"08/1996",4
"08/1997",7
"08/1998",2
"08/1999",7
"08/2000",2
"08/2001",5
"08/2002",5
"08/2003",123
"08/2004",53
"08/2005",35
"08/2006",80
"08/2007",22
"08/2008",1225
"08/2009",822
"08/2010",641
"08/2011",302
"08/2012",625
"08/2013",832
"08/2014",353
"09/1986",1
"09/1987",1
"09/1989",1
"09/1991",24
"09/1994",1
"09/1995",6
"09/1996",3
"09/1997",1
"09/1998",1
"09/1999",12
"09/2000",9
"09/2001",14
"09/2002",18
"09/2003",60
"09/2004",52
"09/2005",102
"09/2006",302
"09/2007",47
"09/2008",710
"09/2009",2492
"09/2010",2449
"09/2011",841
"09/2012",1744
"09/2013",1329
"09/2014",1305
"10/1991",17
"10/2000",2
"10/2001",2
"10/2002",8
"10/2003",1
"10/2004",4
"10/2005",2
"10/2006",17
"10/2007",3
"10/2008",87
"10/2009",167
"10/2010",804
"10/2011",181
"10/2012",266
"10/2013",550
"10/2014",165
"11/2008",1
"11/2009",4
"11/2010",2
"11/2011",11
"11/2012",4
"11/2013",3
"11/2014",9
"12/1974",1
