"Month","x"
"05/2007",1
"05/2010",1
"05/2011",1
"05/2013",2
"05/2014",1
"06/1993",1
"06/1995",1
"06/1996",2
"06/1997",1
"06/1998",15
"06/1999",21
"06/2002",52
"06/2003",30
"06/2004",51
"06/2005",28
"06/2006",7
"06/2007",56
"06/2008",1047
"06/2009",2469
"06/2010",1829
"06/2011",2788
"06/2012",580
"06/2013",336
"06/2014",8451
"07/1986",1
"07/1987",1
"07/1991",3
"07/1992",3
"07/1994",5
"07/1995",1
"07/1996",203
"07/1997",1
"07/1999",14
"07/2000",6
"07/2001",8
"07/2002",123
"07/2003",112
"07/2004",69
"07/2005",107
"07/2006",631
"07/2007",88
"07/2008",1145
"07/2009",2287
"07/2010",7054
"07/2011",2753
"07/2012",3911
"07/2013",8496
"07/2014",4121
"08/1996",8
"08/2001",1
"08/2002",5
"08/2004",3
"08/2005",1
"08/2006",5
"08/2008",17
"08/2009",52
"08/2010",161
"08/2011",34
"08/2012",117
"08/2013",335
"08/2014",53
"09/2008",2
"09/2009",14
"09/2010",2
"09/2011",11
"09/2013",9
"09/2014",3
"10/1997",1
"10/2014",1
