"Month","x"
"01/2012",1
"01/2041",1
"01/2046",1
"02/2014",1
"03/2007",3
"03/2010",2
"03/2012",1
"03/2013",1
"03/2014",2
"04/1984",1
"04/1987",1
"04/1993",1
"04/2003",13
"04/2005",7
"04/2006",2
"04/2007",51
"04/2009",68
"04/2010",63
"04/2011",367
"04/2012",17
"04/2013",4
"04/2014",181
"05/1977",1
"05/1984",1
"05/1985",3
"05/1986",2
"05/1988",1
"05/1993",17
"05/1995",1
"05/1996",1
"05/1997",1
"05/1998",7
"05/1999",2
"05/2000",5
"05/2001",3
"05/2002",2
"05/2003",26
"05/2004",42
"05/2005",73
"05/2006",78
"05/2007",46
"05/2008",89
"05/2009",297
"05/2010",288
"05/2011",558
"05/2012",221
"05/2013",132
"05/2014",262
"06/1984",2
"06/1985",1
"06/1990",1
"06/1992",5
"06/1993",13
"06/1995",2
"06/1996",4
"06/1997",1
"06/2000",2
"06/2001",6
"06/2002",2
"06/2003",13
"06/2004",25
"06/2005",23
"06/2006",45
"06/2007",9
"06/2008",19
"06/2009",84
"06/2010",252
"06/2011",189
"06/2012",46
"06/2013",135
"06/2014",91
"07/1971",4
"07/1983",1
"07/1985",1
"07/1992",25
"07/1993",9
"07/1994",7
"07/1995",2
"07/1998",3
"07/1999",7
"07/2000",2
"07/2001",6
"07/2002",11
"07/2003",54
"07/2004",20
"07/2005",53
"07/2006",158
"07/2007",31
"07/2008",129
"07/2009",481
"07/2010",719
"07/2011",406
"07/2012",167
"07/2013",458
"07/2014",454
"08/1971",3
"08/1983",1
"08/1984",1
"08/1986",7
"08/1987",3
"08/1988",1
"08/1989",1
"08/1990",3
"08/1991",1
"08/1992",3
"08/1993",3
"08/1994",2
"08/1995",56
"08/1996",3
"08/1997",3
"08/1998",2
"08/1999",6
"08/2000",19
"08/2001",12
"08/2002",12
"08/2003",68
"08/2004",35
"08/2005",61
"08/2006",70
"08/2007",23
"08/2008",127
"08/2009",522
"08/2010",586
"08/2011",299
"08/2012",441
"08/2013",979
"08/2014",252
"09/1985",1
"09/1986",1
"09/1993",1
"09/1997",2
"09/1998",5
"09/1999",7
"09/2000",2
"09/2002",1
"09/2003",21
"09/2004",12
"09/2005",54
"09/2006",37
"09/2007",3
"09/2008",30
"09/2009",87
"09/2010",110
"09/2011",239
"09/2012",194
"09/2013",110
"09/2014",102
"10/2000",1
"10/2003",4
"10/2009",3
"10/2010",7
"10/2011",1
"10/2012",73
"10/2013",31
"10/2014",1
"11/2009",1
"11/2012",4
"12/1974",1
