"Month","x"
"01/2012",1
"01/2041",1
"01/2046",1
"02/2014",2
"03/2004",1
"03/2005",1
"03/2009",6
"03/2010",8
"03/2011",97
"03/2012",112
"03/2013",2
"03/2014",254
"04/1991",1
"04/2000",1
"04/2002",2
"04/2007",4
"04/2008",23
"04/2009",532
"04/2010",665
"04/2011",879
"04/2012",198
"04/2013",301
"04/2014",1499
"05/1981",1
"05/1999",4
"05/2002",3
"05/2006",13
"05/2008",112
"05/2009",257
"05/2010",329
"05/2011",163
"05/2012",371
"05/2013",648
"05/2014",360
"06/2001",3
"06/2004",1
"06/2007",4
"06/2008",50
"06/2009",126
"06/2010",95
"06/2011",181
"06/2012",125
"06/2013",171
"06/2014",549
"07/2002",10
"07/2004",5
"07/2007",11
"07/2008",521
"07/2009",635
"07/2010",4852
"07/2011",360
"07/2012",1919
"07/2013",838
"07/2014",922
"08/1981",28
"08/1991",13
"08/2001",6
"08/2006",1
"08/2007",1
"08/2008",226
"08/2009",1025
"08/2010",764
"08/2011",122
"08/2012",420
"08/2013",1382
"08/2014",494
"09/1981",3
"09/1986",1
"09/2005",1
"09/2006",1
"09/2008",327
"09/2009",582
"09/2010",381
"09/2011",331
"09/2012",535
"09/2013",997
"09/2014",423
"10/2008",34
"10/2009",29
"10/2010",64
"10/2011",158
"10/2012",74
"10/2013",154
"10/2014",71
"11/2008",1
"11/2009",24
"11/2010",1
"11/2011",16
"11/2013",3
"11/2014",16
"12/2011",1
"12/2013",1
