"Month","x"
"03/1999",1
"03/2002",2
"03/2003",2
"03/2004",1
"03/2007",1
"03/2009",1
"03/2010",2
"03/2011",4
"03/2012",9
"03/2014",12
"04/1984",1
"04/1990",4
"04/1991",1
"04/1993",2
"04/1996",7
"04/1997",4
"04/1999",6
"04/2000",6
"04/2002",12
"04/2003",21
"04/2004",4
"04/2005",23
"04/2006",1
"04/2007",105
"04/2008",5
"04/2009",407
"04/2010",349
"04/2011",1010
"04/2012",72
"04/2013",44
"04/2014",2400
"05/1977",1
"05/1981",1
"05/1984",1
"05/1986",3
"05/1987",2
"05/1988",1
"05/1989",1
"05/1990",1
"05/1991",4
"05/1992",3
"05/1993",17
"05/1994",6
"05/1995",6
"05/1996",5
"05/1997",12
"05/1998",21
"05/1999",19
"05/2000",31
"05/2001",16
"05/2002",21
"05/2003",73
"05/2004",17
"05/2005",36
"05/2006",77
"05/2007",15
"05/2008",235
"05/2009",1012
"05/2010",970
"05/2011",785
"05/2012",930
"05/2013",1166
"05/2014",1287
"06/1979",1
"06/1986",1
"06/1987",1
"06/1996",11
"06/1997",5
"06/2002",110
"06/2003",329
"06/2004",1
"06/2005",2
"06/2006",3
"06/2007",30
"06/2008",85
"06/2009",84
"06/2010",219
"06/2011",102
"06/2012",166
"06/2013",616
"06/2014",1018
"07/1983",2
"07/1984",1
"07/1985",2
"07/1986",1
"07/1987",1
"07/1988",2
"07/1990",35
"07/1991",1
"07/1992",18
"07/1993",36
"07/1994",13
"07/1995",34
"07/1996",8
"07/1997",22
"07/1998",59
"07/1999",71
"07/2000",14
"07/2001",13
"07/2002",127
"07/2003",390
"07/2004",19
"07/2005",18
"07/2006",125
"07/2007",63
"07/2008",491
"07/2009",2174
"07/2010",1130
"07/2011",1043
"07/2012",1835
"07/2013",3705
"07/2014",3156
"08/1986",1
"08/1987",27
"08/1988",2
"08/1989",1
"08/1991",3
"08/1992",3
"08/1994",8
"08/1995",4
"08/1996",62
"08/1997",27
"08/1998",3
"08/1999",12
"08/2000",21
"08/2001",17
"08/2002",89
"08/2003",97
"08/2004",32
"08/2005",4
"08/2006",19
"08/2007",7
"08/2008",145
"08/2009",860
"08/2010",585
"08/2011",227
"08/2012",978
"08/2013",4266
"08/2014",892
"09/1988",1
"09/1993",1
"09/1994",1
"09/1995",3
"09/1997",10
"09/1998",1
"09/1999",20
"09/2000",3
"09/2001",2
"09/2002",1
"09/2003",25
"09/2004",3
"09/2005",4
"09/2006",8
"09/2007",16
"09/2008",45
"09/2009",197
"09/2010",133
"09/2011",237
"09/2012",153
"09/2013",104
"09/2014",1249
"10/2003",1
"10/2009",16
"10/2010",5
"10/2011",4
"10/2012",1
"10/2013",7
"10/2014",53
"11/2014",37
"12/1974",1
