"Month","x"
"04/2014",7
"05/2008",1
"05/2009",30
"05/2010",1
"05/2011",1
"05/2013",3
"05/2014",6
"06/2000",1
"06/2003",3
"06/2006",1
"06/2007",1
"06/2008",2
"06/2009",17
"06/2010",7
"06/2011",2
"06/2013",284
"06/2014",79
"07/1984",1
"07/1996",3
"07/1998",1
"07/2000",2
"07/2002",2
"07/2003",23
"07/2006",23
"07/2007",3
"07/2008",7
"07/2009",1380
"07/2010",29
"07/2011",9
"07/2012",14
"07/2013",471
"07/2014",347
"08/1982",1
"08/1983",3
"08/1984",1
"08/1986",1
"08/1996",11
"08/1998",5
"08/1999",1
"08/2000",32
"08/2002",49
"08/2003",138
"08/2004",8
"08/2005",1
"08/2006",21
"08/2007",8
"08/2008",24
"08/2009",1500
"08/2010",43
"08/2011",7
"08/2012",35
"08/2013",10856
"08/2014",881
"09/1983",3
"09/1984",5
"09/1997",2
"09/1998",16
"09/2000",6
"09/2002",73
"09/2003",78
"09/2004",3
"09/2006",40
"09/2008",18
"09/2009",5976
"09/2010",18
"09/2011",8
"09/2012",44
"09/2013",976
"09/2014",436
"10/1983",2
"10/1984",1
"10/1996",1
"10/2000",10
"10/2002",1
"10/2003",12
"10/2006",10
"10/2008",2
"10/2009",1082
"10/2010",12
"10/2011",1
"10/2012",14
"10/2013",2363
"10/2014",1000
"11/2005",1
"11/2006",1
"11/2009",16
"11/2013",114
"11/2014",189
"12/2013",1
