"Month","x"
"06/1989",1
"06/2002",6
"06/2003",28
"06/2005",7
"06/2006",4
"06/2007",11
"06/2008",31
"06/2009",81
"06/2010",141
"06/2011",221
"06/2012",15
"06/2013",7
"06/2014",111
"07/1984",1
"07/1988",2
"07/1989",2
"07/1990",3
"07/1991",23
"07/1993",2
"07/1994",28
"07/1995",12
"07/1996",5
"07/1997",1
"07/1998",140
"07/1999",276
"07/2000",3
"07/2001",39
"07/2002",208
"07/2003",649
"07/2004",503
"07/2005",392
"07/2006",329
"07/2007",416
"07/2008",8649
"07/2009",8575
"07/2010",14264
"07/2011",7774
"07/2012",7477
"07/2013",12540
"07/2014",17886
"08/1983",1
"08/1990",2
"08/1991",13
"08/1993",22
"08/1994",9
"08/1996",106
"08/1997",96
"08/1998",24
"08/1999",65
"08/2000",17
"08/2001",14
"08/2002",176
"08/2003",84
"08/2004",455
"08/2005",109
"08/2006",30
"08/2007",109
"08/2008",2453
"08/2009",5146
"08/2010",4715
"08/2011",4406
"08/2012",5744
"08/2013",13528
"08/2014",4225
"09/2002",1
"09/2004",6
"09/2005",5
"09/2008",7
"09/2009",23
"09/2010",72
"09/2011",33
"09/2012",49
"09/2013",49
"09/2014",23
"10/2009",1
"10/2010",1
"10/2013",1
