"Month","x"
"01/2046",1
"03/1997",2
"03/2001",1
"03/2002",3
"03/2003",7
"03/2004",1
"03/2009",1
"03/2010",2
"03/2011",89
"03/2012",122
"03/2014",534
"04/1981",2
"04/1984",11
"04/1987",4
"04/1990",16
"04/1991",52
"04/1992",2
"04/1993",12
"04/1994",26
"04/1995",21
"04/1996",30
"04/1997",11
"04/1998",3
"04/1999",62
"04/2000",47
"04/2001",9
"04/2002",50
"04/2003",89
"04/2004",155
"04/2005",233
"04/2006",75
"04/2007",337
"04/2008",359
"04/2009",3065
"04/2010",3525
"04/2011",4811
"04/2012",1554
"04/2013",711
"04/2014",4536
"05/1977",19
"05/1985",4
"05/1986",1
"05/1988",1
"05/1989",1
"05/1991",5
"05/1992",23
"05/1993",7
"05/1994",23
"05/1995",51
"05/1996",9
"05/1997",17
"05/1998",15
"05/1999",24
"05/2000",48
"05/2001",95
"05/2002",74
"05/2003",62
"05/2004",133
"05/2005",116
"05/2006",221
"05/2007",21
"05/2008",431
"05/2009",1443
"05/2010",1655
"05/2011",853
"05/2012",1838
"05/2013",2853
"05/2014",664
"06/1979",1
"06/1994",1
"06/1996",7
"06/1997",4
"06/2000",1
"06/2002",1
"06/2005",3
"06/2006",7
"06/2008",1
"06/2009",7
"06/2010",93
"06/2011",11
"06/2012",32
"06/2013",268
"06/2014",10
"07/1984",1
"07/1995",1
"07/2005",1
"07/2007",1
"07/2009",1
"07/2011",4
"07/2012",4
"07/2013",8
"08/2004",1
"08/2010",1
"08/2012",2
"08/2013",2
"09/2013",1
"12/1974",1
