"Month","x"
"01/2001",58
"01/2002",2
"01/2003",135
"01/2004",85
"01/2006",29
"01/2007",88
"01/2008",77
"01/2009",139
"01/2010",486
"01/2011",113
"01/2012",89
"01/2013",34
"01/2014",575
"01/2015",191
"02/2000",7
"02/2001",41
"02/2002",113
"02/2003",59
"02/2004",17
"02/2006",9
"02/2007",46
"02/2008",90
"02/2009",447
"02/2010",501
"02/2011",431
"02/2012",66
"02/2013",186
"02/2014",601
"02/2015",270
"03/1997",1
"03/2000",17
"03/2001",34
"03/2002",48
"03/2004",4
"03/2007",5
"03/2008",8
"03/2009",37
"03/2010",104
"03/2011",61
"03/2012",23
"03/2013",91
"03/2014",25
"04/2009",10
"04/2010",5
"04/2012",8
"04/2013",27
"04/2014",6
"05/2010",1
"05/2012",1
"05/2013",2
"05/2014",1
"06/2004",1
"06/2011",1
"06/2012",1
"06/2013",3
"07/2002",1
"07/2004",1
"07/2008",3
"07/2009",1
"07/2010",2
"07/2011",1
"07/2012",1
"08/1998",1
"08/2001",1
"08/2003",2
"08/2004",2
"08/2005",3
"08/2006",3
"08/2007",17
"08/2008",20
"08/2009",26
"08/2010",21
"08/2011",37
"08/2012",13
"08/2013",52
"08/2014",36
"09/1996",1
"09/2004",1
"09/2005",5
"09/2006",19
"09/2008",6
"09/2009",63
"09/2010",59
"09/2011",46
"09/2012",22
"09/2013",66
"09/2014",78
"10/2000",19
"10/2002",2
"10/2008",83
"10/2009",14
"10/2010",45
"10/2011",7
"10/2012",15
"10/2013",28
"10/2014",47
"11/2000",6
"11/2001",67
"11/2002",116
"11/2003",5
"11/2004",1
"11/2007",57
"11/2008",178
"11/2009",220
"11/2010",44
"11/2011",55
"11/2012",68
"11/2013",462
"11/2014",148
"12/2000",1
"12/2001",85
"12/2002",47
"12/2003",141
"12/2004",126
"12/2005",118
"12/2006",1
"12/2007",123
"12/2008",313
"12/2009",208
"12/2010",61
"12/2011",194
"12/2012",88
"12/2013",472
"12/2014",264
