"Month","x"
"01/2014",2
"02/2010",10
"02/2011",1
"02/2014",1
"02/2015",10
"03/2011",130
"03/2012",1
"03/2013",13
"03/2014",1827
"04/2009",3
"04/2011",37
"04/2013",202
"04/2014",415
"05/1994",2
"05/1998",1
"05/2002",4
"05/2005",96
"05/2006",3
"05/2007",7
"05/2008",8
"05/2009",17
"05/2010",238
"05/2011",750
"05/2012",296
"05/2013",166
"05/2014",2076
"06/1996",2
"06/2000",1
"06/2006",2
"06/2008",1
"06/2010",285
"06/2011",1
"06/2012",57
"06/2013",583
"06/2014",74
"07/2010",3
"07/2012",85
"07/2013",221
"07/2014",12
"08/1996",1
"08/2011",143
"08/2012",19
"08/2013",5
"10/2013",1
