"Month","x"
"05/2004",28
"05/2009",1
"05/2011",8
"05/2012",1
"05/2014",2
"06/1996",36
"06/1998",3
"06/2000",3
"06/2003",4
"06/2005",2
"06/2008",19
"06/2009",35
"06/2010",51
"06/2011",119
"06/2012",12
"06/2013",5
"06/2014",293
"07/1983",1
"07/1984",2
"07/1986",2
"07/1987",16
"07/1988",2
"07/1989",1
"07/1990",11
"07/1991",1
"07/1992",13
"07/1993",11
"07/1994",5
"07/1995",40
"07/1996",3
"07/1997",10
"07/1998",27
"07/1999",74
"07/2000",38
"07/2001",4
"07/2002",94
"07/2003",529
"07/2004",466
"07/2005",490
"07/2006",617
"07/2007",53
"07/2008",3709
"07/2009",1762
"07/2010",1871
"07/2011",1669
"07/2012",638
"07/2013",1293
"07/2014",2306
"08/1981",1
"08/1983",1
"08/1984",3
"08/1987",43
"08/1988",1
"08/1990",1
"08/1991",2
"08/1993",24
"08/1994",5
"08/1995",1
"08/1996",30
"08/1997",27
"08/1998",1
"08/1999",44
"08/2000",17
"08/2001",12
"08/2002",32
"08/2003",185
"08/2004",301
"08/2005",235
"08/2006",37
"08/2007",26
"08/2008",286
"08/2009",1117
"08/2010",526
"08/2011",516
"08/2012",1186
"08/2013",1725
"08/2014",379
"09/1987",2
"09/1991",1
"09/2004",1
"09/2005",10
"09/2008",2
"09/2009",6
"09/2010",19
"09/2011",13
"09/2012",12
"09/2013",16
"09/2014",19
"10/2013",2
"12/1974",1
